nohup: ignoring input
in dir=/mnt/data/lmc/ukunion
out dir=/mnt/data/lmc/ukunion_label
core graph dir=/mnt/data/lmc/ukunion_tmp
bp dir=/mnt/data/lmc/ukunion_bp
max width=200
threads=2
Load Time : 1909.091182 seconds
* #{blocks} = 10, #{vertices} = 131572430
n=13288814
0 local node=13288814, local edge cnt=532549372
1 local node=13288814, local edge cnt=723128412
2 local node=13007588, local edge cnt=945853342
3 local node=13283241, local edge cnt=1350617672
4 local node=13277110, local edge cnt=965018320
5 local node=13288814, local edge cnt=924665086
6 local node=13286643, local edge cnt=1083237178
7 local node=13227083, local edge cnt=1034440528
8 local node=13288814, local edge cnt=1015047830
9 local node=12335509, local edge cnt=736099382
0 Initializing q... 
0 t=7.86429 secs
0 Initializing E...
0 t=25.5807 secs
0 Reducing Graph...
1000001 nodes reduced, score[x]=1, remaining size=92.475% t=26.592 secs
tid 0: 156324 E updated, 1237.24s consumed,  construct 0.00379395s,  cacu 601.895s,  update 0s,  max memory cost 0MB.  max nb cnt=27182 max buckets=0 max caculation cnt=0
tid 1: 156588 E updated, 1239.05s consumed,  construct 0.00380129s,  cacu 603.697s,  update 0s,  max memory cost 0MB.  max nb cnt=4869 max buckets=0 max caculation cnt=0
tid 0: 215104 E updated, 1297.25s consumed,  construct 0.00520776s,  cacu 661.855s,  update 0s,  max memory cost 0MB.  max nb cnt=5102 max buckets=0 max caculation cnt=0
tid 1: 218706 E updated, 1299.05s consumed,  construct 0.00528101s,  cacu 663.659s,  update 0s,  max memory cost 0MB.  max nb cnt=1348 max buckets=0 max caculation cnt=0
tid 0: 259283 E updated, 1357.26s consumed,  construct 0.00611284s,  cacu 721.846s,  update 0s,  max memory cost 0MB.  max nb cnt=42844 max buckets=0 max caculation cnt=0
tid 1: 259402 E updated, 1359.15s consumed,  construct 0.00611662s,  cacu 723.7s,  update 0s,  max memory cost 0MB.  max nb cnt=7384 max buckets=0 max caculation cnt=0
tid 0: 280194 E updated, 1417.26s consumed,  construct 0.0066813s,  cacu 781.819s,  update 0s,  max memory cost 0MB.  max nb cnt=19252 max buckets=0 max caculation cnt=0
tid 1: 282589 E updated, 1419.16s consumed,  construct 0.00674582s,  cacu 783.707s,  update 0s,  max memory cost 0MB.  max nb cnt=2058 max buckets=0 max caculation cnt=0
tid 0: 367336 E updated, 1477.26s consumed,  construct 0.00872624s,  cacu 841.767s,  update 0s,  max memory cost 0MB.  max nb cnt=3901 max buckets=0 max caculation cnt=0
tid 1: 370786 E updated, 1479.16s consumed,  construct 0.00880127s,  cacu 843.658s,  update 0s,  max memory cost 0MB.  max nb cnt=1154 max buckets=0 max caculation cnt=0
tid 0: 499021 E updated, 1537.27s consumed,  construct 0.0116214s,  cacu 901.702s,  update 0s,  max memory cost 0MB.  max nb cnt=1480 max buckets=0 max caculation cnt=0
tid 1: 503501 E updated, 1539.16s consumed,  construct 0.0117202s,  cacu 903.586s,  update 0s,  max memory cost 0MB.  max nb cnt=758 max buckets=0 max caculation cnt=0
tid 1: 613185 E updated, 1600.82s consumed,  construct 0.0139503s,  cacu 958.265s,  update 0s,  max memory cost 0MB.  max nb cnt=53538 max buckets=0 max caculation cnt=0
tid 0: 613182 E updated, 1602.76s consumed,  construct 0.0139503s,  cacu 967.149s,  update 0s,  max memory cost 0MB.  max nb cnt=53538 max buckets=0 max caculation cnt=0
tid 0: 613349 E updated, 1664.11s consumed,  construct 0.0139555s,  cacu 1028.5s,  update 0s,  max memory cost 0MB.  max nb cnt=45109 max buckets=0 max caculation cnt=0
tid 1: 613352 E updated, 1664.5s consumed,  construct 0.0139556s,  cacu 1028.5s,  update 0s,  max memory cost 0MB.  max nb cnt=43108 max buckets=0 max caculation cnt=0
tid 0: 613417 E updated, 1725.96s consumed,  construct 0.0139573s,  cacu 1090.35s,  update 0s,  max memory cost 0MB.  max nb cnt=43410 max buckets=0 max caculation cnt=0
tid 1: 613420 E updated, 1727.15s consumed,  construct 0.0139574s,  cacu 1090.56s,  update 0s,  max memory cost 0MB.  max nb cnt=39022 max buckets=0 max caculation cnt=0
tid 0: 613538 E updated, 1785.98s consumed,  construct 0.0139613s,  cacu 1150.37s,  update 0s,  max memory cost 0MB.  max nb cnt=39219 max buckets=0 max caculation cnt=0
tid 1: 613530 E updated, 1789.2s consumed,  construct 0.0139632s,  cacu 1151.29s,  update 0s,  max memory cost 0MB.  max nb cnt=34926 max buckets=0 max caculation cnt=0
tid 0: 613666 E updated, 1847.24s consumed,  construct 0.0139661s,  cacu 1211.62s,  update 0s,  max memory cost 0MB.  max nb cnt=34683 max buckets=0 max caculation cnt=0
tid 1: 613667 E updated, 1849.73s consumed,  construct 0.0139662s,  cacu 1211.62s,  update 0s,  max memory cost 0MB.  max nb cnt=32807 max buckets=0 max caculation cnt=0
tid 0: 613860 E updated, 1908.66s consumed,  construct 0.0139705s,  cacu 1273.04s,  update 0s,  max memory cost 0MB.  max nb cnt=32365 max buckets=0 max caculation cnt=0
tid 1: 613862 E updated, 1910.94s consumed,  construct 0.013971s,  cacu 1273.21s,  update 0s,  max memory cost 0MB.  max nb cnt=28444 max buckets=0 max caculation cnt=0
tid 0: 614112 E updated, 1969.11s consumed,  construct 0.0139754s,  cacu 1333.49s,  update 0s,  max memory cost 0MB.  max nb cnt=28322 max buckets=0 max caculation cnt=0
tid 1: 614116 E updated, 1970.96s consumed,  construct 0.0139757s,  cacu 1335.19s,  update 0s,  max memory cost 0MB.  max nb cnt=18047 max buckets=0 max caculation cnt=0
tid 0: 614494 E updated, 2029.22s consumed,  construct 0.0139866s,  cacu 1393.6s,  update 0s,  max memory cost 0MB.  max nb cnt=23967 max buckets=0 max caculation cnt=0
tid 1: 614518 E updated, 2031.22s consumed,  construct 0.0139873s,  cacu 1395.5s,  update 0s,  max memory cost 0MB.  max nb cnt=19145 max buckets=0 max caculation cnt=0
tid 0: 615013 E updated, 2089.42s consumed,  construct 0.0140003s,  cacu 1453.8s,  update 0s,  max memory cost 0MB.  max nb cnt=18997 max buckets=0 max caculation cnt=0
tid 1: 615047 E updated, 2091.68s consumed,  construct 0.0140009s,  cacu 1455.68s,  update 0s,  max memory cost 0MB.  max nb cnt=15680 max buckets=0 max caculation cnt=0
tid 0: 615841 E updated, 2149.53s consumed,  construct 0.0140204s,  cacu 1513.91s,  update 0s,  max memory cost 0MB.  max nb cnt=15227 max buckets=0 max caculation cnt=0
tid 1: 615917 E updated, 2151.78s consumed,  construct 0.0140229s,  cacu 1515.63s,  update 0s,  max memory cost 0MB.  max nb cnt=12307 max buckets=0 max caculation cnt=0
tid 0: 618328 E updated, 2209.68s consumed,  construct 0.0140614s,  cacu 1574.05s,  update 0s,  max memory cost 0MB.  max nb cnt=24122 max buckets=0 max caculation cnt=0
tid 1: 618503 E updated, 2211.8s consumed,  construct 0.0140637s,  cacu 1576.15s,  update 0s,  max memory cost 0MB.  max nb cnt=8722 max buckets=0 max caculation cnt=0
tid 0: 625660 E updated, 2269.69s consumed,  construct 0.0141796s,  cacu 1634.05s,  update 0s,  max memory cost 0MB.  max nb cnt=19105 max buckets=0 max caculation cnt=0
tid 1: 626100 E updated, 2271.81s consumed,  construct 0.0141874s,  cacu 1636.14s,  update 0s,  max memory cost 0MB.  max nb cnt=6797 max buckets=0 max caculation cnt=0
tid 0: 641139 E updated, 2329.69s consumed,  construct 0.0144303s,  cacu 1694.04s,  update 0s,  max memory cost 0MB.  max nb cnt=16902 max buckets=0 max caculation cnt=0
tid 1: 641722 E updated, 2331.83s consumed,  construct 0.0144399s,  cacu 1696.18s,  update 0s,  max memory cost 0MB.  max nb cnt=10221 max buckets=0 max caculation cnt=0
tid 0: 656644 E updated, 2389.71s consumed,  construct 0.0146775s,  cacu 1754.04s,  update 0s,  max memory cost 0MB.  max nb cnt=10728 max buckets=0 max caculation cnt=0
tid 1: 657906 E updated, 2391.84s consumed,  construct 0.014698s,  cacu 1756.17s,  update 0s,  max memory cost 0MB.  max nb cnt=7093 max buckets=0 max caculation cnt=0
tid 0: 675525 E updated, 2449.72s consumed,  construct 0.0150862s,  cacu 1814.04s,  update 0s,  max memory cost 0MB.  max nb cnt=9934 max buckets=0 max caculation cnt=0
tid 1: 676244 E updated, 2451.85s consumed,  construct 0.0151051s,  cacu 1816.12s,  update 0s,  max memory cost 0MB.  max nb cnt=8257 max buckets=0 max caculation cnt=0
tid 0: 696980 E updated, 2509.76s consumed,  construct 0.0156732s,  cacu 1874.05s,  update 0s,  max memory cost 0MB.  max nb cnt=9424 max buckets=0 max caculation cnt=0
tid 1: 697727 E updated, 2511.85s consumed,  construct 0.0156935s,  cacu 1876.13s,  update 0s,  max memory cost 0MB.  max nb cnt=2604 max buckets=0 max caculation cnt=0
tid 0: 731688 E updated, 2569.76s consumed,  construct 0.0165626s,  cacu 1934.01s,  update 0s,  max memory cost 0MB.  max nb cnt=8219 max buckets=0 max caculation cnt=0
tid 1: 732894 E updated, 2571.85s consumed,  construct 0.0165965s,  cacu 1936.08s,  update 0s,  max memory cost 0MB.  max nb cnt=6349 max buckets=0 max caculation cnt=0
tid 0: 761421 E updated, 2629.77s consumed,  construct 0.0173413s,  cacu 1993.99s,  update 0s,  max memory cost 0MB.  max nb cnt=8702 max buckets=0 max caculation cnt=0
tid 1: 762230 E updated, 2631.85s consumed,  construct 0.0173632s,  cacu 1996.06s,  update 0s,  max memory cost 0MB.  max nb cnt=4087 max buckets=0 max caculation cnt=0
tid 0: 784896 E updated, 2689.77s consumed,  construct 0.0179968s,  cacu 2053.96s,  update 0s,  max memory cost 0MB.  max nb cnt=7599 max buckets=0 max caculation cnt=0
tid 1: 785989 E updated, 2691.88s consumed,  construct 0.0180257s,  cacu 2055.98s,  update 0s,  max memory cost 0MB.  max nb cnt=4140 max buckets=0 max caculation cnt=0
tid 0: 813832 E updated, 2749.78s consumed,  construct 0.0187465s,  cacu 2113.94s,  update 0s,  max memory cost 0MB.  max nb cnt=6723 max buckets=0 max caculation cnt=0
tid 1: 814778 E updated, 2751.88s consumed,  construct 0.0187688s,  cacu 2116.04s,  update 0s,  max memory cost 0MB.  max nb cnt=4400 max buckets=0 max caculation cnt=0
tid 0: 853954 E updated, 2809.78s consumed,  construct 0.0192892s,  cacu 2173.92s,  update 0s,  max memory cost 0MB.  max nb cnt=6423 max buckets=0 max caculation cnt=0
tid 1: 857001 E updated, 2811.89s consumed,  construct 0.0193063s,  cacu 2176.02s,  update 0s,  max memory cost 0MB.  max nb cnt=3092 max buckets=0 max caculation cnt=0
tid 0: 900906 E updated, 2869.79s consumed,  construct 0.0196363s,  cacu 2233.91s,  update 0s,  max memory cost 0MB.  max nb cnt=4928 max buckets=0 max caculation cnt=0
tid 1: 901307 E updated, 2871.89s consumed,  construct 0.0196441s,  cacu 2235.98s,  update 0s,  max memory cost 0MB.  max nb cnt=2483 max buckets=0 max caculation cnt=0
tid 0: 919304 E updated, 2929.79s consumed,  construct 0.0198894s,  cacu 2293.9s,  update 0s,  max memory cost 0MB.  max nb cnt=4604 max buckets=0 max caculation cnt=0
tid 1: 920644 E updated, 2931.89s consumed,  construct 0.0199068s,  cacu 2295.99s,  update 0s,  max memory cost 0MB.  max nb cnt=3792 max buckets=0 max caculation cnt=0
tid 0: 955511 E updated, 2989.8s consumed,  construct 0.020294s,  cacu 2353.88s,  update 0s,  max memory cost 0MB.  max nb cnt=4629 max buckets=0 max caculation cnt=0
tid 1: 956628 E updated, 2991.89s consumed,  construct 0.0203083s,  cacu 2355.97s,  update 0s,  max memory cost 0MB.  max nb cnt=2413 max buckets=0 max caculation cnt=0
tid 0: 1014248 E updated, 3049.8s consumed,  construct 0.0208487s,  cacu 2413.85s,  update 0s,  max memory cost 0MB.  max nb cnt=4424 max buckets=0 max caculation cnt=0
tid 1: 1016415 E updated, 3051.9s consumed,  construct 0.0208692s,  cacu 2415.93s,  update 0s,  max memory cost 0MB.  max nb cnt=1750 max buckets=0 max caculation cnt=0
tid 0: 1051980 E updated, 3109.81s consumed,  construct 0.0212087s,  cacu 2473.84s,  update 0s,  max memory cost 0MB.  max nb cnt=3462 max buckets=0 max caculation cnt=0
tid 1: 1052751 E updated, 3111.91s consumed,  construct 0.0212161s,  cacu 2475.93s,  update 0s,  max memory cost 0MB.  max nb cnt=1312 max buckets=0 max caculation cnt=0
tid 0: 1075811 E updated, 3169.84s consumed,  construct 0.0214557s,  cacu 2533.85s,  update 0s,  max memory cost 0MB.  max nb cnt=2897 max buckets=0 max caculation cnt=0
tid 1: 1076161 E updated, 3171.92s consumed,  construct 0.021461s,  cacu 2535.92s,  update 0s,  max memory cost 0MB.  max nb cnt=3675 max buckets=0 max caculation cnt=0
tid 0: 1106295 E updated, 3229.84s consumed,  construct 0.0217358s,  cacu 2593.83s,  update 0s,  max memory cost 0MB.  max nb cnt=3220 max buckets=0 max caculation cnt=0
tid 1: 1107280 E updated, 3231.92s consumed,  construct 0.0217455s,  cacu 2595.89s,  update 0s,  max memory cost 0MB.  max nb cnt=1747 max buckets=0 max caculation cnt=0
tid 0: 1164157 E updated, 3289.84s consumed,  construct 0.0220817s,  cacu 2653.8s,  update 0s,  max memory cost 0MB.  max nb cnt=3483 max buckets=0 max caculation cnt=0
tid 1: 1168016 E updated, 3291.94s consumed,  construct 0.0220957s,  cacu 2655.88s,  update 0s,  max memory cost 0MB.  max nb cnt=2315 max buckets=0 max caculation cnt=0
tid 0: 1259261 E updated, 3349.84s consumed,  construct 0.0225931s,  cacu 2713.78s,  update 0s,  max memory cost 0MB.  max nb cnt=3001 max buckets=0 max caculation cnt=0
tid 1: 1261613 E updated, 3351.95s consumed,  construct 0.0226119s,  cacu 2715.88s,  update 0s,  max memory cost 0MB.  max nb cnt=2711 max buckets=0 max caculation cnt=0
tid 0: 1334451 E updated, 3409.85s consumed,  construct 0.0231245s,  cacu 2773.76s,  update 0s,  max memory cost 0MB.  max nb cnt=3226 max buckets=0 max caculation cnt=0
tid 1: 1337377 E updated, 3411.95s consumed,  construct 0.023148s,  cacu 2775.85s,  update 0s,  max memory cost 0MB.  max nb cnt=1717 max buckets=0 max caculation cnt=0
tid 0: 1433534 E updated, 3469.87s consumed,  construct 0.0236983s,  cacu 2833.74s,  update 0s,  max memory cost 0MB.  max nb cnt=2476 max buckets=0 max caculation cnt=0
tid 1: 1437719 E updated, 3471.97s consumed,  construct 0.0237195s,  cacu 2835.83s,  update 0s,  max memory cost 0MB.  max nb cnt=1988 max buckets=0 max caculation cnt=0
tid 0: 1581887 E updated, 3529.88s consumed,  construct 0.0242934s,  cacu 2893.69s,  update 0s,  max memory cost 0MB.  max nb cnt=2321 max buckets=0 max caculation cnt=0
tid 1: 1587907 E updated, 3531.97s consumed,  construct 0.0243143s,  cacu 2895.78s,  update 0s,  max memory cost 0MB.  max nb cnt=2086 max buckets=0 max caculation cnt=0
tid 0: 1818012 E updated, 3589.88s consumed,  construct 0.0250008s,  cacu 2953.63s,  update 0s,  max memory cost 0MB.  max nb cnt=3118 max buckets=0 max caculation cnt=0
tid 1: 1828090 E updated, 3591.98s consumed,  construct 0.0250318s,  cacu 2955.72s,  update 0s,  max memory cost 0MB.  max nb cnt=1613 max buckets=0 max caculation cnt=0
tid 0: 2184011 E updated, 3649.88s consumed,  construct 0.0258625s,  cacu 3013.54s,  update 0s,  max memory cost 0MB.  max nb cnt=2407 max buckets=0 max caculation cnt=0
tid 1: 2203442 E updated, 3651.98s consumed,  construct 0.0258925s,  cacu 3015.64s,  update 0s,  max memory cost 0MB.  max nb cnt=2812 max buckets=0 max caculation cnt=0
tid 0: 3206150 E updated, 3709.88s consumed,  construct 0.0268816s,  cacu 3073.42s,  update 0s,  max memory cost 0MB.  max nb cnt=2291 max buckets=0 max caculation cnt=0
tid 1: 3235700 E updated, 3711.98s consumed,  construct 0.0269189s,  cacu 3075.51s,  update 0s,  max memory cost 0MB.  max nb cnt=1327 max buckets=0 max caculation cnt=0
tid 0: 4013885 E updated, 3769.89s consumed,  construct 0.0278942s,  cacu 3133.28s,  update 0s,  max memory cost 0MB.  max nb cnt=2074 max buckets=0 max caculation cnt=0
tid 1: 4044365 E updated, 3771.98s consumed,  construct 0.027941s,  cacu 3135.37s,  update 0s,  max memory cost 0MB.  max nb cnt=1085 max buckets=0 max caculation cnt=0
tid 0: 5779485 E updated, 3829.89s consumed,  construct 0.0290382s,  cacu 3193.02s,  update 0s,  max memory cost 0MB.  max nb cnt=1547 max buckets=0 max caculation cnt=0
tid 1: 5919877 E updated, 3831.98s consumed,  construct 0.0290837s,  cacu 3195.09s,  update 0s,  max memory cost 0MB.  max nb cnt=1241 max buckets=0 max caculation cnt=0
multi-thread E reduction finished 
